id;product_id;user_id;price;count; sum 
1;23;1;459.49;7; 3216.43 
2;19;1;329.98;2; 659.96 
3;14;1;244.79;8; 1958.32 
4;7;1;224.55;4; 898.2 
5;7;7;390.79;7; 2735.53 
6;3;7;233.79;8; 1870.32 
7;10;7;451.19;5; 2255.95 
8;13;7;283.74;4; 1134.96 
9;1;13;246.08;1; 246.08 
10;11;13;279.95;4; 1119.8 
11;18;13;176.97;4; 707.88 
12;13;13;413.22;1; 413.22 
13;20;19;287.29;9; 2585.61 
14;21;19;164.7;8; 1317.6 
15;9;19;360.92;3; 1082.76 
16;19;19;279.22;4; 1116.88 
17;7;25;315.99;3; 947.97 
18;17;25;281.64;8; 2253.12 
19;10;25;251.46;3; 754.38 
20;23;25;355.53;9; 3199.77 
21;6;31;433.76;6; 2602.56 
22;22;31;270.4;10; 2704.0 
23;10;31;351.95;5; 1759.75 
24;16;31;376.13;6; 2256.78 
25;10;37;496.66;9; 4469.94 
26;11;37;494.26;3; 1482.78 
27;17;37;358.39;6; 2150.34 
28;16;37;220.77;9; 1986.93 
29;2;43;125.6;9; 1130.4 
30;14;43;191.81;6; 1150.86 
31;5;43;454.18;5; 2270.9 
32;16;43;122.86;10; 1228.6 
33;4;49;450.05;8; 3600.4 
34;22;49;112.86;2; 225.72 
35;12;49;329.03;4; 1316.12 
36;14;49;153.9;8; 1231.2 
37;8;55;276.15;9; 2485.35 
38;2;55;285.84;9; 2572.56 
39;18;55;185.73;9; 1671.57 
40;1;55;117.96;6; 707.76 
41;19;61;326.98;2; 653.96 
42;18;61;327.54;3; 982.62 
43;21;61;478.27;3; 1434.81 
44;22;61;436.01;7; 3052.07 
45;18;67;398.65;1; 398.65 
46;18;67;221.22;7; 1548.54 
47;10;67;142.47;9; 1282.23 
48;17;67;309.78;6; 1858.68 
49;23;73;383.18;6; 2299.08 
50;16;73;211.27;4; 845.08 
51;4;73;439.05;2; 878.1 
52;10;73;310.22;8; 2481.76 
53;3;79;254.05;7; 1778.35 
54;8;79;322.32;2; 644.64 
55;13;79;355.28;4; 1421.12 
56;5;79;134.39;3; 403.17 
57;23;85;347.88;2; 695.76 
58;3;85;497.15;8; 3977.2 
59;13;85;203.53;1; 203.53 
60;2;85;167.19;1; 167.19 
61;23;91;493.8;7; 3456.6 
62;18;91;176.73;3; 530.19 
63;3;91;479.13;9; 4312.17 
64;13;91;247.22;8; 1977.76 
65;3;97;134.53;5; 672.65 
66;20;97;153.3;7; 1073.1 
67;1;97;486.18;9; 4375.62 
68;3;97;383.57;2; 767.14 
69;6;103;127.72;5; 638.6 
70;22;103;188.06;8; 1504.48 
71;7;103;222.48;3; 667.44 
72;4;103;360.56;1; 360.56 
73;8;109;194.85;6; 1169.1 
74;13;109;428.84;7; 3001.88 
75;3;109;107.6;5; 538.0 
76;12;109;138.88;10; 1388.8 
77;9;115;482.02;5; 2410.1 
78;4;115;444.04;6; 2664.24 
79;17;115;102.73;2; 205.46 
80;24;115;119.0;1; 119.0 
81;12;121;248.88;7; 1742.16 
82;18;121;306.86;10; 3068.6 
83;23;121;258.17;7; 1807.19 
84;18;121;246.95;7; 1728.65 
